tripid,vehid,day,seqno,geom,t
2,2,2020-06-01,1,SRID=3857;POINT(482252.019595 6580521.343245),2020-06-01 08:17:54.798+02
2,2,2020-06-01,1,SRID=3857;POINT(482251.888392 6580526.341523),2020-06-01 08:17:56.298+02
2,2,2020-06-01,1,SRID=3857;POINT(482251.757188 6580531.339802),2020-06-01 08:17:57.048+02
2,2,2020-06-01,1,SRID=3857;POINT(482250.838762 6580566.327749),2020-06-01 08:18:01.248+02
2,2,2020-06-01,1,SRID=3857;POINT(482250.838762 6580566.327749),2020-06-01 08:18:01.256062+02
2,2,2020-06-01,1,SRID=3857;POINT(482250.828477 6580566.719589),2020-06-01 08:18:01.373654+02
2,2,2020-06-01,1,SRID=3857;POINT(482250.277466 6580571.689135),2020-06-01 08:18:02.123654+02
2,2,2020-06-01,1,SRID=3857;POINT(482249.726455 6580576.658681),2020-06-01 08:18:02.723654+02
2,2,2020-06-01,1,SRID=3857;POINT(482249.436983 6580579.269413),2020-06-01 08:18:06.191997+02
2,2,2020-06-01,1,SRID=3857;POINT(482247.508611 6580583.882588),2020-06-01 08:18:07.414288+02
2,2,2020-06-01,1,SRID=3857;POINT(482245.580239 6580588.495763),2020-06-01 08:18:08.087778+02
2,2,2020-06-01,1,SRID=3857;POINT(482245.580239 6580588.495763),2020-06-01 08:18:09.154655+02
2,2,2020-06-01,1,SRID=3857;POINT(482243.859877 6580592.611323),2020-06-01 08:18:10.492852+02
2,2,2020-06-01,1,SRID=3857;POINT(482242.244248 6580597.343104),2020-06-01 08:18:11.242852+02
2,2,2020-06-01,1,SRID=3857;POINT(482240.921042 6580601.218451),2020-06-01 08:18:11.734254+02
2,2,2020-06-01,1,SRID=3857;POINT(482239.305191 6580605.950155),2020-06-01 08:18:12.334254+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.837492 6580610.248024),2020-06-01 08:18:20.642629+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.224018 6580615.210246),2020-06-01 08:18:21.931302+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.610543 6580620.172468),2020-06-01 08:18:25.152986+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.201096 6580623.484375),2020-06-01 08:18:35.901852+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.17128 6580628.484286),2020-06-01 08:18:37.274047+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.141464 6580633.484197),2020-06-01 08:18:37.990674+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.0222 6580653.483841),2020-06-01 08:18:40.390674+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.0222 6580653.483841),2020-06-01 08:18:40.905035+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.000721 6580657.085792),2020-06-01 08:18:41.985639+02
2,2,2020-06-01,1,SRID=3857;POINT(482236.18571 6580662.082368),2020-06-01 08:18:42.735639+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.480635 6580697.058405),2020-06-01 08:18:46.935639+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.480635 6580697.058405),2020-06-01 08:18:47.275955+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.625985 6580700.98434),2020-06-01 08:18:48.454542+02
2,2,2020-06-01,1,SRID=3857;POINT(482237.858944 6580705.97891),2020-06-01 08:18:49.204542+02
2,2,2020-06-01,1,SRID=3857;POINT(482239.256697 6580735.94633),2020-06-01 08:18:52.804542+02
2,2,2020-06-01,1,SRID=3857;POINT(482239.318041 6580737.261545),2020-06-01 08:18:55.075224+02
2,2,2020-06-01,1,SRID=3857;POINT(482240.628577 6580742.086738),2020-06-01 08:18:56.352957+02
2,2,2020-06-01,1,SRID=3857;POINT(482241.939113 6580746.911932),2020-06-01 08:18:57.042944+02
2,2,2020-06-01,1,SRID=3857;POINT(482242.401591 6580748.614706),2020-06-01 08:19:00.221321+02
2,2,2020-06-01,1,SRID=3857;POINT(482244.686015 6580753.062335),2020-06-01 08:19:01.50717+02
2,2,2020-06-01,1,SRID=3857;POINT(482246.970439 6580757.509964),2020-06-01 08:19:02.199517+02
2,2,2020-06-01,1,SRID=3857;POINT(482246.970439 6580757.509964),2020-06-01 08:19:02.809585+02
2,2,2020-06-01,1,SRID=3857;POINT(482248.802462 6580761.076798),2020-06-01 08:19:04.012529+02
2,2,2020-06-01,1,SRID=3857;POINT(482251.206835 6580765.460745),2020-06-01 08:19:04.762529+02
2,2,2020-06-01,1,SRID=3857;POINT(482251.206835 6580765.460745),2020-06-01 08:19:06.289371+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.364686 6580767.571879),2020-06-01 08:19:07.011711+02
2,2,2020-06-01,1,SRID=3857;POINT(482253.306874 6580772.482305),2020-06-01 08:19:07.761711+02
