geonameid,name,admin1,geom,cluster
4046225,Arrington School,AL,0101000020CE1300004A4AAB26F71A2C4110096541EB1E3041,-1
4046233,Baxter School (historical),AL,0101000020CE13000073B87E1C68F42D4170D6AD77B2062F41,-1
4046248,Cooke Elementary School,TX,0101000020CE1300000DDFB6ED251400C19E2ECA3C87842F41,17
4046258,Crockett School,TX,0101000020CE1300002374990578B5F6C0AFDC0CE53B673041,0
4046265,Bay Minette Area Vocational School,AL,0101000020CE130000CBB52A5AC3E22741415A4714636F2B41,47
4046269,Bay Minette Middle School,AL,0101000020CE130000F1536E59B2E12741A77F1E67C86F2B41,47
4046300,Friendship School,TX,0101000020CE130000E020F7546ACEFEC045296FA8E7472F41,-1
4046301,Biler School (historical),AL,0101000020CE130000D992588CD8A02741840038504D653341,-1
4046335,Bay Minette Grammer School,AL,0101000020CE1300005308F94D0EE72741E94F75FB36882B41,-1
4046341,Bayview Elementary School,AL,0101000020CE13000035A4B56A285A2941CA52D72E93633241,-1
4046342,Homebound Schools - Austin,TX,0101000020CE130000674B1C8D959704C1CAA506306B732841,1
4046372,Lancaster High School,TX,0101000020CE1300005ACE0F1A4095F1C0FD8AB4DAEA2A3041,265
4046375,Beachwood School (historical),AL,0101000020CE130000A8BBEFC1A7712841F38BC8E30F6F3441,-1
4046382,Live Oak Elementary School,TX,0101000020CE1300000F16E8661EB204C1B4A1F0E564122941,46
4046419,Bean Rock School,AL,0101000020CE130000F7DAFE1DEE7B2A41E67755765EF93341,-1
4046428,Nacogdoches High School,TX,0101000020CE130000EDDAAA7BFAD4FF40CA88D5837B152D41,-1
4046486,Robert Browning School,TX,0101000020CE130000CC71CAEA7F51ED4032913E9639CC2641,62
4046540,Southside Primary School,TX,0101000020CE1300000FC624D5DB59F540ACEB18C7C4A22841,2
4046553,Bear Creek School (historical),AL,0101000020CE130000F2960E1FD8E72641A0ED91350B283441,-1
4046571,Bear Elementary School,AL,0101000020CE1300005379D8960DC12B41FB85D33DC56A3041,0
