name,pop_max,geom,cluster
'Ataq,37315,0101000020E6100000E3E36E6B66664740B1659E019A192D40,3
's-Hertogenbosch,134520,0101000020E610000073BD6DA6424415405E52109777D74940,2
25 de Mayo,17430,0101000020E6100000ACC0351CBBEB50C05A9E077767E642C0,4
28 de Noviembre,5300,0101000020E610000042A38DF20D0E52C065E900DD6DCB49C0,4
Aalborg,122219,0101000020E61000007A75E9BA4BD523404236DABB50844C40,2
Aarau,15501,0101000020E61000007DE47BEB68112040286783A7EBB14740,2
Aba,897560,0101000020E61000002E04392861661D40D255BABBCE661440,9
Abadan,370180,0101000020E61000002674F27DCC2348407957E2A6AB543E40,7
Abadla,14364,0101000020E61000002B9B83B1CFDD05C03A4261AB5F043F40,9
Abaetetuba,79420,0101000020E6100000CB3049C0437148C0F52AD780AD97FBBF,4
Abakan,167289,0101000020E6100000E529ABE97ADC5640DF196D5512DA4A40,7
Abancay,55111,0101000020E6100000D06F4EDBF53852C01B5D4A0279472BC0,4
Abau,230,0101000020E610000099582AB9149262401844FF5FD01524C0,6
Abaza,18094,0101000020E61000002E84E6841A86564089B3226AA2554A40,7
Abaí,3024,0101000020E61000006B813D2652F84BC0F6589F1793073AC0,4
Abbotsford,151683,0101000020E6100000930D5AFE32935EC0133D3ABF72864840,0
Abbottabad,1183647,0101000020E6100000DD81959EC44C524006D26AED22134140,7
Abengourou,104020,0101000020E6100000EA31DB5F87EB0BC01822A7AFE7EB1A40,9
Abeokuta,593100,0101000020E6100000B0389CF9D5CC0A40D68ADB0D47A41C40,9
Aberdeen,32745,0101000020E6100000D229D9FB1EF45EC0E6BEE666C97C4740,0
Aberdeen,189364,0101000020E6100000A41B367324D700C0EB6009BC93924C40,2
Aberdeen,26041,0101000020E6100000F56CB136219F58C0A26538F988BB4640,5
Abha,210886,0101000020E6100000394EC06504404540E9B7AF03E73A3240,3
Abidjan,3802000,0101000020E61000003825C119B11410C0FA19A38FE14A1540,9
Abilene,114247,0101000020E6100000A89DABF7E5EE58C040D4C78D6C394040,5
Aboa Station,18,0101000020E6100000A8C244285BD52AC00726378A2CC352C0,4
Abohar,130603,0101000020E6100000E400ED7CAB8B5240CCFBB5A857203E40,7
Aboisso,37654,0101000020E61000002DAF5C6F9B9909C0604A6E5EE6DD1540,9
Abomey,82154,0101000020E61000005028FA3207D7FF3F99AFDC1CF8C21C40,9
Abong Mbang,14661,0101000020E61000008978EBFCDB5D2A40399F950F9CDE0F40,9
Abra Pampa,4480,0101000020E61000004AD7A777CC6C50C0223A5F4777B736C0,4
Abu Dhabi,603492,0101000020E6100000F8F65388EC2E4B405D948F9378773840,7
Abu Kamal,80808,0101000020E610000060D50FA0957544401C8F6335A7394140,7
Abuja,1576000,0101000020E6100000FAAF59CF40F51D403307B634F71B2240,9
Abunã,1929,0101000020E6100000D9B51897055750C0DDD671570A6423C0,4
Abéché,158317,0101000020E610000033B385D679D434402CB17CA713AE2B40,9
Acapulco,715584,0101000020E6100000A83462669FFA58C0CA65ED0099D93040,5
Acaraú,28389,0101000020E61000007E29F2DA5B0F44C041C92E62E91D07C0,4
Acarigua,260921,0101000020E610000085798F33CD4C51C0B6508DF227292340,5
Acatlan,18879,0101000020E610000015BE631D338358C04001CA9530333240,5
Accra,2121000,0101000020E6100000640D72721AFDCBBF711E4E603A351640,9
Achacachi,8447,0101000020E61000009862580FA92A51C0648A8395541530C0,4
Achinsk,117634,0101000020E610000042AA72EBFF9F5640D5A8D1F58E224C40,7
Ad Dakhla,89292,0101000020E61000009912A4ADA5DF2FC00F04125ECCB63740,9
Ad Damazīn,186051,0101000020E6100000A9C8D754CC2C41404265B26E728A2740,3
Ad Diwaniyah,358408,0101000020E61000008450398144764640E4C8B9032BFD3F40,7
Ad Nabk,50178,0101000020E61000005908BCDDDC5D4240BF428B112E024140,2
Ad-Damir,103941,0101000020E6100000B718F2BEE0FA404073124A5F08973140,3
Adana,1293000,0101000020E6100000C19C8F21B6A8414087E0B88C9B7F4240,2
Adapazarı,260109,0101000020E61000004B4A308B3F6A3E40DECA129D65664440,2
Addis Ababa,3100000,0101000020E610000085D8F4FB5959434064F6C3190D122240,3
Adelaide,1145000,0101000020E610000083C2A04C235361401B26BFEA6D7741C0,6
Adelaide River,237,0101000020E6100000D105F52D3363604001FFEFE3C37F2AC0,6
Aden,1000000,0101000020E61000006191BAF83681464025E99AC9378F2940,3
Adigrat,104021,0101000020E61000004595AB6928BC4340A2821EC5948F2C40,3
Adjumani,34700,0101000020E61000005DD83FF449CF3F406D1915DD1FE40A40,3
Ado Ekiti,446749,0101000020E6100000DEFD96A542E11440352ACB6B80851E40,9
Adrar,56910,0101000020E61000001D9FDA2AD28ED2BF0158D3ABB7DE3B40,9
Adıyaman,223744,0101000020E61000007BE35AA3D423434086C613419CE24240,2
Afyon,156992,0101000020E61000008BF1AB83CD8C3E40AC32F8A00C604340,2
Agadez,117770,0101000020E610000085C7C8A365EE1F40D2F4238FF1FE3040,9
Agadir,825467,0101000020E61000002F30D05A763D23C03BA01111A3703E40,9
Agana,122411,0101000020E610000036CEA62300186240812CFAF9A5F02A40,1
Agapa,10,0101000020E6100000C52C6AE6FF4F564088F37002D3DC5140,7
Agartala,203264,0101000020E6100000345A5881EBD156401270630EDDD53740,8
Agboville,81770,0101000020E6100000E51FC720C11E11C0299BCD3EEAC21740,9
Agdam,0,0101000020E6100000C0AD60C037C74640BD659824E0734440,7
Agen,58223,0101000020E6100000E074DC3A4944E43FE0D2D62DA7194640,2
Aginskoye,11491,0101000020E61000003BB077DA75A15C406461E355318D4940,1
Agordat,28600,0101000020E6100000D76F815F7EF14240879B9D561B192F40,3
Agra,1592000,0101000020E610000081F91A38D680534090EFF730202C3B40,7
Agrinio,75233,0101000020E610000093B53CC560683540B32F8FEB954F4340,2
Agua Prieta,86083,0101000020E61000004318E4D308645BC03FC6DCB584523F40,0
Aguascalientes,869000,0101000020E61000009D0BC803B69259C035817DCFA3E13540,5
Aguelhok,9000,0101000020E6100000918F27936467EB3F72E94E6672743340,9
Ahar,103639,0101000020E61000007661B5430D8847409C3CC0EECF3D4340,7
