id,port_id,data_src_c,port_coor_,cntr_code,port_name,rep_mar_l,source,traffic,geom
1,DKAAB,2108,7,DK,Aabenraa,Aabenraa,GISCO,1,0103000020E86400000100000021000000D8ECF7F37A1F20417B174B768E445741BC320886541F20417D4183B05D445741AF024AB6E21E204161BC8DCA2E445741EAF268E4291E2041D864CC9103445741E8F2A32A311D2041B99675AFDD435741ED81ED17021C2041B9F63C98BE435741AAC5E251A81A2041C0D4007EA7435741CB9C362231192041BE0E094499435741D8ECF7F3AA1720417B174B7694435741E53CB9C524162041BE0E09449943574106140D96AD142041C0D4007EA7435741C35702D053132041B9F63C98BE435741C8E64BBD24122041B99675AFDD435741C6E686032C112041D864CC910344574101D7A5317310204161BC8DCA2E445741F4A6E761011020417D4183B05D445741D8ECF7F3DA0F20417B174B768E445741F4A6E7610110204179ED123CBF44574101D7A5317310204195720822EE445741C6E686032C1120411ECAC95A19455741C8E64BBD241220413D98203D3F455741C35702D0531320413D3859545E45574106140D96AD142041365A956E75455741E53CB9C52416204138208DA883455741D8ECF7F3AA1720417B174B7688455741CB9C36223119204138208DA883455741AAC5E251A81A2041365A956E75455741ED81ED17021C20413D3859545E455741E8F2A32A311D20413D98203D3F455741EAF268E4291E20411ECAC95A19455741AF024AB6E21E204195720822EE445741BC320886541F204179ED123CBF445741D8ECF7F37A1F20417B174B768E445741
2,DKAAL,2110,1,DK,Aalborg,Aalborg,GISCO,1,0103000020E86400000100000021000000CB4D36F5320621418506FC8A041F5841AF9346870C062141873034C5D31E5841A26388B79A0521416BAB3EDFA41E5841DD53A7E5E1042141E2537DA6791E5841DB53E22BE9032141C38526C4531E5841E0E22B19BA022141C3E5EDAC341E58419D26215360012141CAC3B1921D1E5841BEFD7423E9FF2041C8FDB9580F1E5841CB4D36F562FE20418506FC8A0A1E5841D89DF7C6DCFC2041C8FDB9580F1E5841F9744B9765FB2041CAC3B1921D1E5841B6B840D10BFA2041C3E5EDAC341E5841BB478ABEDCF82041C38526C4531E5841B947C504E4F72041E2537DA6791E5841F437E4322BF720416BAB3EDFA41E5841E7072663B9F62041873034C5D31E5841CB4D36F592F620418506FC8A041F5841E7072663B9F6204183DCC350351F5841F437E4322BF720419F61B936641F5841B947C504E4F7204128B97A6F8F1F5841BB478ABEDCF820414787D151B51F5841B6B840D10BFA204147270A69D41F5841F9744B9765FB204140494683EB1F5841D89DF7C6DCFC2041420F3EBDF91F5841CB4D36F562FE20418506FC8AFE1F5841BEFD7423E9FF2041420F3EBDF91F58419D2621536001214140494683EB1F5841E0E22B19BA02214147270A69D41F5841DB53E22BE90321414787D151B51F5841DD53A7E5E104214128B97A6F8F1F5841A26388B79A0521419F61B936641F5841AF9346870C06214183DCC350351F5841CB4D36F5320621418506FC8A041F5841
3,DKAAR,2110,1,DK,Århus,Århus,GISCO,1,0103000020E86400000100000021000000CE8596384E9B2141193EC3693EBD5741B2CBA6CA279B21411B68FBA30DBD5741A59BE8FAB59A2141FFE205BEDEBC5741E08B0729FD992141768B4485B3BC5741DE8B426F0499214157BDEDA28DBC5741E31A8C5CD5972141571DB58B6EBC5741A05E81967B9621415EFB787157BC5741C135D566049521415C35813749BC5741CE8596387E932141193EC36944BC5741DBD5570AF89121415C35813749BC5741FCACABDA809021415EFB787157BC5741B9F0A014278F2141571DB58B6EBC5741BE7FEA01F88D214157BDEDA28DBC5741BC7F2548FF8C2141768B4485B3BC5741F76F4476468C2141FFE205BEDEBC5741EA3F86A6D48B21411B68FBA30DBD5741CE859638AE8B2141193EC3693EBD5741EA3F86A6D48B214117148B2F6FBD5741F76F4476468C2141339980159EBD5741BC7F2548FF8C2141BCF0414EC9BD5741BE7FEA01F88D2141DBBE9830EFBD5741B9F0A014278F2141DB5ED1470EBE5741FCACABDA80902141D4800D6225BE5741DBD5570AF8912141D646059C33BE5741CE8596387E932141193EC36938BE5741C135D56604952141D646059C33BE5741A05E81967B962141D4800D6225BE5741E31A8C5CD5972141DB5ED1470EBE5741DE8B426F04992141DBBE9830EFBD5741E08B0729FD992141BCF0414EC9BD5741A59BE8FAB59A2141339980159EBD5741B2CBA6CA279B214117148B2F6FBD5741CE8596384E9B2141193EC3693EBD5741
4,DKAGH,5106,1,DK,Agger Havn,,GISCO,0,0103000020E86400000100000021000000B320FECA36CE1B4160E8621A3F0158417BAC1EEFE9CD1B4162129B540E015841624CA24F06CD1B41468DA56EDF005841D82CE0AB94CB1B41BD35E435B4005841D32C5638A3C91B419E678D538E005841DC4AE91245C71B419EC7543C6F00584157D2D38691C41B41A5A518225800584199807B27A3C11B41A3DF20E849005841B320FECA96BE1B4160E8621A45005841CDC0806E8ABB1B41A3DF20E8490058410F6F280F9CB81B41A5A51822580058418AF61283E8B51B419EC7543C6F0058419314A65D8AB31B419E678D538E0058418E141CEA98B11B41BD35E435B400584104F5594627B01B41468DA56EDF005841EB94DDA643AF1B4162129B540E015841B320FECAF6AE1B4160E8621A3F015841EB94DDA643AF1B415EBE2AE06F01584104F5594627B01B417A4320C69E0158418E141CEA98B11B41039BE1FEC90158419314A65D8AB31B41226938E1EF0158418AF61283E8B51B41220971F80E0258410F6F280F9CB81B411B2BAD1226025841CDC0806E8ABB1B411DF1A44C34025841B320FECA96BE1B4160E8621A3902584199807B27A3C11B411DF1A44C3402584157D2D38691C41B411B2BAD1226025841DC4AE91245C71B41220971F80E025841D32C5638A3C91B41226938E1EF015841D82CE0AB94CB1B41039BE1FEC9015841624CA24F06CD1B417A4320C69E0158417BAC1EEFE9CD1B415EBE2AE06F015841B320FECA36CE1B4160E8621A3F015841
5,DKAGO,5106,1,DK,Agersø,,GISCO,0,0103000020E864000001000000210000008FB6425F798E2341B70C37292559574173FC52F1528E2341B9366F63F458574166CC9421E18D23419DB1797DC5585741A1BCB34F288D2341145AB8449A5857419FBCEE952F8C2341F58B616274585741A44B3883008B2341F5EB284B55585741618F2DBDA6892341FCC9EC303E5857418266818D2F882341FA03F5F62F5857418FB6425FA9862341B70C37292B5857419C06043123852341FA03F5F62F585741BDDD5701AC832341FCC9EC303E5857417A214D3B52822341F5EB284B555857417FB0962823812341F58B6162745857417DB0D16E2A802341145AB8449A585741B8A0F09C717F23419DB1797DC5585741AB7032CDFF7E2341B9366F63F45857418FB6425FD97E2341B70C372925595741AB7032CDFF7E2341B5E2FEEE55595741B8A0F09C717F2341D167F4D4845957417DB0D16E2A8023415ABFB50DB05957417FB0962823812341798D0CF0D55957417A214D3B52822341792D4507F5595741BDDD5701AC832341724F81210C5A57419C060431238523417415795B1A5A57418FB6425FA9862341B70C37291F5A57418266818D2F8823417415795B1A5A5741618F2DBDA6892341724F81210C5A5741A44B3883008B2341792D4507F55957419FBCEE952F8C2341798D0CF0D5595741A1BCB34F288D23415ABFB50DB059574166CC9421E18D2341D167F4D48459574173FC52F1528E2341B5E2FEEE555957418FB6425F798E2341B70C372925595741
6,DKAIT,0,,DK,,Asnæs Inter Terminal,Inter Terminals Nordics,1,0103000020E86400000100000021000000D80AF16016482341F5A264F48D895741BC5001F3EF472341F7CC9C2E5D895741AF2043237E472341DB47A7482E895741EA106251C546234152F0E50F03895741E8109D97CC45234133228F2DDD885741ED9FE6849D44234133825616BE885741AAE3DBBE434323413A601AFCA6885741CBBA2F8FCC412341389A22C298885741D80AF16046402341F5A264F493885741E55AB232C03E2341389A22C29888574106320603493D23413A601AFCA6885741C375FB3CEF3B234133825616BE885741C804452AC03A234133228F2DDD885741C6048070C739234152F0E50F0389574101F59E9E0E392341DB47A7482E895741F4C4E0CE9C382341F7CC9C2E5D895741D80AF16076382341F5A264F48D895741F4C4E0CE9C382341F3782CBABE89574101F59E9E0E3923410FFE21A0ED895741C6048070C73923419855E3D8188A5741C804452AC03A2341B7233ABB3E8A5741C375FB3CEF3B2341B7C372D25D8A574106320603493D2341B0E5AEEC748A5741E55AB232C03E2341B2ABA626838A5741D80AF16046402341F5A264F4878A5741CBBA2F8FCC412341B2ABA626838A5741AAE3DBBE43432341B0E5AEEC748A5741ED9FE6849D442341B7C372D25D8A5741E8109D97CC452341B7233ABB3E8A5741EA106251C54623419855E3D8188A5741AF2043237E4723410FFE21A0ED895741BC5001F3EF472341F3782CBABE895741D80AF16016482341F5A264F48D895741
7,DKANH,9998,8,DK,Anholt,,GISCO,0,0103000020E86400000100000021000000905C2BBE63FD2341E5CA063649FD574174A23B503DFD2341E7F43E7018FD574167727D80CBFC2341CB6F498AE9FC5741A2629CAE12FC234142188851BEFC5741A062D7F419FB2341234A316F98FC5741A5F120E2EAF9234123AAF85779FC57416235161C91F823412A88BC3D62FC5741830C6AEC19F7234128C2C40354FC5741905C2BBE93F52341E5CA06364FFC57419DACEC8F0DF4234128C2C40354FC5741BE83406096F223412A88BC3D62FC57417BC7359A3CF1234123AAF85779FC574180567F870DF02341234A316F98FC57417E56BACD14EF234142188851BEFC5741B946D9FB5BEE2341CB6F498AE9FC5741AC161B2CEAED2341E7F43E7018FD5741905C2BBEC3ED2341E5CA063649FD5741AC161B2CEAED2341E3A0CEFB79FD5741B946D9FB5BEE2341FF25C4E1A8FD57417E56BACD14EF2341887D851AD4FD574180567F870DF02341A74BDCFCF9FD57417BC7359A3CF12341A7EB141419FE5741BE83406096F22341A00D512E30FE57419DACEC8F0DF42341A2D348683EFE5741905C2BBE93F52341E5CA063643FE5741830C6AEC19F72341A2D348683EFE57416235161C91F82341A00D512E30FE5741A5F120E2EAF92341A7EB141419FE5741A062D7F419FB2341A74BDCFCF9FD5741A2629CAE12FC2341887D851AD4FD574167727D80CBFC2341FF25C4E1A8FD574174A23B503DFD2341E3A0CEFB79FD5741905C2BBE63FD2341E5CA063649FD5741
8,DKARD,5105,1,DK,Årøsund,Årøsund,GISCO,1,0103000020E864000001000000210000005BA8228419AC20410A6ADD1A965C57413FEE3216F3AB20410C941555655C574132BE744681AB2041F00E206F365C57416DAE9374C8AA204167B75E360B5C57416BAECEBACFA9204148E90754E55B5741703D18A8A0A820414849CF3CC65B57412D810DE246A720414F279322AF5B57414E5861B2CFA520414D619BE8A05B57415BA8228449A420410A6ADD1A9C5B574168F8E355C3A220414D619BE8A05B574189CF37264CA120414F279322AF5B574146132D60F29F20414849CF3CC65B57414BA2764DC39E204148E90754E55B574149A2B193CA9D204167B75E360B5C57418492D0C1119D2041F00E206F365C5741776212F29F9C20410C941555655C57415BA82284799C20410A6ADD1A965C5741776212F29F9C20410840A5E0C65C57418492D0C1119D204124C59AC6F55C574149A2B193CA9D2041AD1C5CFF205D57414BA2764DC39E2041CCEAB2E1465D574146132D60F29F2041CC8AEBF8655D574189CF37264CA12041C5AC27137D5D574168F8E355C3A22041C7721F4D8B5D57415BA8228449A420410A6ADD1A905D57414E5861B2CFA52041C7721F4D8B5D57412D810DE246A72041C5AC27137D5D5741703D18A8A0A82041CC8AEBF8655D57416BAECEBACFA92041CCEAB2E1465D57416DAE9374C8AA2041AD1C5CFF205D574132BE744681AB204124C59AC6F55C57413FEE3216F3AB20410840A5E0C65C57415BA8228419AC20410A6ADD1A965C5741
9,DKARK,5106,1,DK,Ærøskøbing,Ærøskøbing,GISCO,1,0103000020E8640000010000002100000018AC98727D0B2241F3074DE357355741FCF1A804570B2241F531851D27355741EFC1EA34E50A2241D9AC8F37F83457412AB209632C0A22415055CEFECC34574128B244A9330922413187771CA73457412D418E960408224131E73E0588345741EA8483D0AA06224138C502EB703457410B5CD7A03305224136FF0AB16234574118AC9872AD032241F3074DE35D34574125FC59442702224136FF0AB16234574146D3AD14B000224138C502EB703457410317A34E56FF214131E73E058834574108A6EC3B27FE21413187771CA734574106A627822EFD21415055CEFECC345741419646B075FC2141D9AC8F37F8345741346688E003FC2141F531851D2735574118AC9872DDFB2141F3074DE357355741346688E003FC2141F1DD14A988355741419646B075FC21410D630A8FB735574106A627822EFD214196BACBC7E235574108A6EC3B27FE2141B58822AA083657410317A34E56FF2141B5285BC12736574146D3AD14B0002241AE4A97DB3E36574125FC594427022241B0108F154D36574118AC9872AD032241F3074DE3513657410B5CD7A033052241B0108F154D365741EA8483D0AA062241AE4A97DB3E3657412D418E9604082241B5285BC12736574128B244A933092241B58822AA083657412AB209632C0A224196BACBC7E2355741EFC1EA34E50A22410D630A8FB7355741FCF1A804570B2241F1DD14A98835574118AC98727D0B2241F3074DE357355741
10,DKARO,5106,1,DK,Årø,Årø,GISCO,1,0103000020E8640000010000002100000013647427A5B42041F9807EEF985C5741F7A984B97EB42041FBAAB629685C5741EA79C6E90CB42041DF25C143395C5741256AE51754B3204156CEFF0A0E5C5741236A205E5BB220413700A928E85B574128F9694B2CB1204137607011C95B5741E53C5F85D2AF20413E3E34F7B15B57410614B3555BAE20413C783CBDA35B574113647427D5AC2041F9807EEF9E5B574120B435F94EAB20413C783CBDA35B5741418B89C9D7A920413E3E34F7B15B5741FECE7E037EA8204137607011C95B5741035EC8F04EA720413700A928E85B5741015E033756A6204156CEFF0A0E5C57413C4E22659DA52041DF25C143395C57412F1E64952BA52041FBAAB629685C57411364742705A52041F9807EEF985C57412F1E64952BA52041F75646B5C95C57413C4E22659DA5204113DC3B9BF85C5741015E033756A620419C33FDD3235D5741035EC8F04EA72041BB0154B6495D5741FECE7E037EA82041BBA18CCD685D5741418B89C9D7A92041B4C3C8E77F5D574120B435F94EAB2041B689C0218E5D574113647427D5AC2041F9807EEF925D57410614B3555BAE2041B689C0218E5D5741E53C5F85D2AF2041B4C3C8E77F5D574128F9694B2CB12041BBA18CCD685D5741236A205E5BB22041BB0154B6495D5741256AE51754B320419C33FDD3235D5741EA79C6E90CB4204113DC3B9BF85C5741F7A984B97EB42041F75646B5C95C574113647427A5B42041F9807EEF985C5741
